Year,Toy #,Col.#,Model Name,Series,Series #,Photo,Bild,,Quantity
2025,HYW39,188,Decidedly Go,ExperimotorsNew for 2025!,7/10,,2025_ExperimotorsNew_for_2025!_312.jpg,,1
2025,JBB00,169,'67 Austin Mini Van,HW Art Cars,10/10,,2025_HW_Art_Cars_282.jpg,,2
2025,JBB80,090,Gordon Murray Automotive T.33 (2nd Color),Factory FreshNew for 2025!,4/5,,2025_Factory_FreshNew_for_2025!_168.jpg,,1
2025,HYY69,128,RRRoadster,Compact Kings,5/10,,2025_Compact_Kings_231.jpg,,1
2025,HYY70,129,'68 Dodge Dart,Compact Kings,6/10,,2025_Compact_Kings_232.jpg,,1
2020,GHB57,126,'70 Volkswagen Baja Bug,ToonedNew for 2020!,3/10,,2020_ToonedNew_for_2020!_2386.jpg,,4
2020,GHG56,231,'67 Camaro (2nd Color),HW FlamesKroger Exclusive,4/10,,2020_HW_FlamesKroger_Exclusive_2563.jpg,,1
2024,HTD77,156,Mazda RX-3 (2nd Color),HW J-ImportsNew for 2024!,7/10,,2024_HW_J-ImportsNew_for_2024!_668.jpg,,2
2025,HYW10,059,Oracle Red Bull Racing,Track AcesNew for 2025!,1/5,Picture,2025_Track_AcesNew_for_2025!_108.jpg,,13
2020,GHB29,246,2018 Bentley Continental GT3,NightburnerzNew for 2020!,1/10,,2020_NightburnerzNew_for_2020!_2582.jpg,,1
2020,GHB28,175,2019 Audi R8 Spyder,Factory FreshNew for 2020!,1/10,,2020_Factory_FreshNew_for_2020!_2476.jpg,,1
2024,HRY45,003,Monster High Ghoul Mobile,HW Screen TimeNew for 2024!,1/10,,2024_HW_Screen_TimeNew_for_2024!_367.jpg,,1
2025,HYW61,003,Monster High Ghoul Mobile,HW Screen Time,1/10,Picture,2025_HW_Screen_Time_5.jpg,,1
